sdfg_name,size,rep,time_seconds
log_implementations_std,524288,0,441
log_implementations_std,524288,1,553
log_implementations_std,524288,2,457
log_implementations_std,524288,3,543
log_implementations_std,524288,4,459
log_implementations_std,524288,5,454
log_implementations_std,524288,6,433
log_implementations_std,524288,7,427
log_implementations_std,524288,8,445
log_implementations_std,524288,9,417
log_implementations_std,524288,10,417
log_implementations_std,524288,11,458
log_implementations_std,524288,12,540
log_implementations_std,524288,13,537
log_implementations_std,524288,14,587
log_implementations_std,524288,15,436
log_implementations_std,524288,16,422
log_implementations_std,524288,17,442
log_implementations_std,524288,18,442
log_implementations_std,524288,19,419
log_implementations_dace,524288,0,384
log_implementations_dace,524288,1,423
log_implementations_dace,524288,2,325
log_implementations_dace,524288,3,325
log_implementations_dace,524288,4,332
log_implementations_dace,524288,5,376
log_implementations_dace,524288,6,334
log_implementations_dace,524288,7,339
log_implementations_dace,524288,8,334
log_implementations_dace,524288,9,336
log_implementations_dace,524288,10,324
log_implementations_dace,524288,11,324
log_implementations_dace,524288,12,326
log_implementations_dace,524288,13,326
log_implementations_dace,524288,14,365
log_implementations_dace,524288,15,328
log_implementations_dace,524288,16,349
log_implementations_dace,524288,17,333
log_implementations_dace,524288,18,385
log_implementations_dace,524288,19,529
_static_veclen_8_no_cpy,524288,0,341
_static_veclen_8_no_cpy,524288,1,414
_static_veclen_8_no_cpy,524288,2,328
_static_veclen_8_no_cpy,524288,3,337
_static_veclen_8_no_cpy,524288,4,325
_static_veclen_8_no_cpy,524288,5,325
_static_veclen_8_no_cpy,524288,6,326
_static_veclen_8_no_cpy,524288,7,326
_static_veclen_8_no_cpy,524288,8,354
_static_veclen_8_no_cpy,524288,9,325
_static_veclen_8_no_cpy,524288,10,325
_static_veclen_8_no_cpy,524288,11,325
_static_veclen_8_no_cpy,524288,12,326
_static_veclen_8_no_cpy,524288,13,328
_static_veclen_8_no_cpy,524288,14,337
_static_veclen_8_no_cpy,524288,15,327
_static_veclen_8_no_cpy,524288,16,335
_static_veclen_8_no_cpy,524288,17,332
_static_veclen_8_no_cpy,524288,18,346
_static_veclen_8_no_cpy,524288,19,374
_static_veclen_8_cpy,524288,0,360
_static_veclen_8_cpy,524288,1,335
_static_veclen_8_cpy,524288,2,337
_static_veclen_8_cpy,524288,3,407
_static_veclen_8_cpy,524288,4,330
_static_veclen_8_cpy,524288,5,357
_static_veclen_8_cpy,524288,6,384
_static_veclen_8_cpy,524288,7,328
_static_veclen_8_cpy,524288,8,343
_static_veclen_8_cpy,524288,9,344
_static_veclen_8_cpy,524288,10,340
_static_veclen_8_cpy,524288,11,356
_static_veclen_8_cpy,524288,12,365
_static_veclen_8_cpy,524288,13,328
_static_veclen_8_cpy,524288,14,327
_static_veclen_8_cpy,524288,15,353
_static_veclen_8_cpy,524288,16,326
_static_veclen_8_cpy,524288,17,330
_static_veclen_8_cpy,524288,18,345
_static_veclen_8_cpy,524288,19,357
_static_veclen_16_no_cpy,524288,0,397
_static_veclen_16_no_cpy,524288,1,663
_static_veclen_16_no_cpy,524288,2,419
_static_veclen_16_no_cpy,524288,3,355
_static_veclen_16_no_cpy,524288,4,486
_static_veclen_16_no_cpy,524288,5,350
_static_veclen_16_no_cpy,524288,6,347
_static_veclen_16_no_cpy,524288,7,347
_static_veclen_16_no_cpy,524288,8,333
_static_veclen_16_no_cpy,524288,9,341
_static_veclen_16_no_cpy,524288,10,363
_static_veclen_16_no_cpy,524288,11,333
_static_veclen_16_no_cpy,524288,12,339
_static_veclen_16_no_cpy,524288,13,336
_static_veclen_16_no_cpy,524288,14,344
_static_veclen_16_no_cpy,524288,15,336
_static_veclen_16_no_cpy,524288,16,344
_static_veclen_16_no_cpy,524288,17,340
_static_veclen_16_no_cpy,524288,18,421
_static_veclen_16_no_cpy,524288,19,340
_static_veclen_16_cpy,524288,0,366
_static_veclen_16_cpy,524288,1,350
_static_veclen_16_cpy,524288,2,342
_static_veclen_16_cpy,524288,3,347
_static_veclen_16_cpy,524288,4,341
_static_veclen_16_cpy,524288,5,350
_static_veclen_16_cpy,524288,6,343
_static_veclen_16_cpy,524288,7,460
_static_veclen_16_cpy,524288,8,342
_static_veclen_16_cpy,524288,9,357
_static_veclen_16_cpy,524288,10,341
_static_veclen_16_cpy,524288,11,349
_static_veclen_16_cpy,524288,12,350
_static_veclen_16_cpy,524288,13,345
_static_veclen_16_cpy,524288,14,366
_static_veclen_16_cpy,524288,15,386
_static_veclen_16_cpy,524288,16,372
_static_veclen_16_cpy,524288,17,342
_static_veclen_16_cpy,524288,18,342
_static_veclen_16_cpy,524288,19,341
_static_veclen_32_no_cpy,524288,0,338
_static_veclen_32_no_cpy,524288,1,374
_static_veclen_32_no_cpy,524288,2,339
_static_veclen_32_no_cpy,524288,3,345
_static_veclen_32_no_cpy,524288,4,333
_static_veclen_32_no_cpy,524288,5,344
_static_veclen_32_no_cpy,524288,6,339
_static_veclen_32_no_cpy,524288,7,346
_static_veclen_32_no_cpy,524288,8,336
_static_veclen_32_no_cpy,524288,9,347
_static_veclen_32_no_cpy,524288,10,340
_static_veclen_32_no_cpy,524288,11,387
_static_veclen_32_no_cpy,524288,12,400
_static_veclen_32_no_cpy,524288,13,375
_static_veclen_32_no_cpy,524288,14,339
_static_veclen_32_no_cpy,524288,15,365
_static_veclen_32_no_cpy,524288,16,341
_static_veclen_32_no_cpy,524288,17,380
_static_veclen_32_no_cpy,524288,18,349
_static_veclen_32_no_cpy,524288,19,335
_static_veclen_32_cpy,524288,0,434
_static_veclen_32_cpy,524288,1,424
_static_veclen_32_cpy,524288,2,397
_static_veclen_32_cpy,524288,3,347
_static_veclen_32_cpy,524288,4,342
_static_veclen_32_cpy,524288,5,351
_static_veclen_32_cpy,524288,6,343
_static_veclen_32_cpy,524288,7,348
_static_veclen_32_cpy,524288,8,340
_static_veclen_32_cpy,524288,9,346
_static_veclen_32_cpy,524288,10,347
_static_veclen_32_cpy,524288,11,348
_static_veclen_32_cpy,524288,12,344
_static_veclen_32_cpy,524288,13,370
_static_veclen_32_cpy,524288,14,349
_static_veclen_32_cpy,524288,15,349
_static_veclen_32_cpy,524288,16,354
_static_veclen_32_cpy,524288,17,346
_static_veclen_32_cpy,524288,18,353
_static_veclen_32_cpy,524288,19,348
_static_veclen_64_no_cpy,524288,0,352
_static_veclen_64_no_cpy,524288,1,344
_static_veclen_64_no_cpy,524288,2,355
_static_veclen_64_no_cpy,524288,3,352
_static_veclen_64_no_cpy,524288,4,406
_static_veclen_64_no_cpy,524288,5,334
_static_veclen_64_no_cpy,524288,6,335
_static_veclen_64_no_cpy,524288,7,336
_static_veclen_64_no_cpy,524288,8,340
_static_veclen_64_no_cpy,524288,9,331
_static_veclen_64_no_cpy,524288,10,410
_static_veclen_64_no_cpy,524288,11,333
_static_veclen_64_no_cpy,524288,12,340
_static_veclen_64_no_cpy,524288,13,335
_static_veclen_64_no_cpy,524288,14,362
_static_veclen_64_no_cpy,524288,15,408
_static_veclen_64_no_cpy,524288,16,349
_static_veclen_64_no_cpy,524288,17,367
_static_veclen_64_no_cpy,524288,18,338
_static_veclen_64_no_cpy,524288,19,340
_static_veclen_64_cpy,524288,0,404
_static_veclen_64_cpy,524288,1,436
_static_veclen_64_cpy,524288,2,402
_static_veclen_64_cpy,524288,3,362
_static_veclen_64_cpy,524288,4,361
_static_veclen_64_cpy,524288,5,372
_static_veclen_64_cpy,524288,6,360
_static_veclen_64_cpy,524288,7,370
_static_veclen_64_cpy,524288,8,396
_static_veclen_64_cpy,524288,9,370
_static_veclen_64_cpy,524288,10,359
_static_veclen_64_cpy,524288,11,365
_static_veclen_64_cpy,524288,12,361
_static_veclen_64_cpy,524288,13,361
_static_veclen_64_cpy,524288,14,394
_static_veclen_64_cpy,524288,15,418
_static_veclen_64_cpy,524288,16,389
_static_veclen_64_cpy,524288,17,499
_static_veclen_64_cpy,524288,18,407
_static_veclen_64_cpy,524288,19,363
sdfg_name,size,rep,time_seconds
log_implementations_std,2097152,0,1766
log_implementations_std,2097152,1,1903
log_implementations_std,2097152,2,1718
log_implementations_std,2097152,3,1818
