name,variant,runtime_us,vlen,cpy
ice_supersaturation_size_4194304_v3,dace,56437.0,None,None
ice_supersaturation_size_4194304_v3,fortran,54253.599,None,None
ice_supersaturation_size_4194304_v3,dace,56976.0,None,None
ice_supersaturation_size_4194304_v3,dace,61699.0,None,None
ice_supersaturation_size_4194304_v3,dace,56033.0,None,None
ice_supersaturation_size_4194304_v3,dace,54522.0,None,None
ice_supersaturation_size_4194304_v3,dace,55960.0,None,None
ice_supersaturation_size_4194304_v3,dace,54036.0,None,None
ice_supersaturation_size_4194304_v3,dace,55669.0,None,None
ice_supersaturation_size_4194304_v3,dace,54665.0,None,None
ice_supersaturation_size_4194304_v3,dace,54918.0,None,None
ice_supersaturation_size_4194304_v3,dace,54044.0,None,None
ice_supersaturation_size_4194304_v3,fortran,46506.088,None,None
ice_supersaturation_size_4194304_v3,fortran,48425.015,None,None
ice_supersaturation_size_4194304_v3,fortran,45656.343,None,None
ice_supersaturation_size_4194304_v3,fortran,46170.536,None,None
ice_supersaturation_size_4194304_v3,fortran,46155.653999999995,None,None
ice_supersaturation_size_4194304_v3,fortran,46165.677,None,None
ice_supersaturation_size_4194304_v3,fortran,45914.865,None,None
ice_supersaturation_size_4194304_v3,fortran,46162.385,None,None
ice_supersaturation_size_4194304_v3,fortran,46194.031,None,None
ice_supersaturation_size_4194304_v3,fortran,45934.887,None,None
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,65401.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,60974.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,61942.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,59285.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,61067.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,62235.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,61987.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58911.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,60194.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,60455.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,59680.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,61118.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,65707.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,62987.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,60227.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,63153.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,60079.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,62800.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,61656.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,61681.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,61048.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,59957.0,8,False
