name,variant,runtime_us,vlen,cpy
saturation_calculation_intrinsic_sve_v3,dace,480005.0,None,None
saturation_calculation_intrinsic_sve_v3,fortran,378491.434,None,None
saturation_calculation_intrinsic_sve_v3,dace,478929.0,None,None
saturation_calculation_intrinsic_sve_v3,fortran,378344.75,None,None
saturation_calculation_intrinsic_sve_v3,dace_vec_2_w_cpy,2732041.0,2,True
saturation_calculation_intrinsic_sve_v3,dace_vec_2_w_cpy,2880557.0,2,True
saturation_calculation_intrinsic_sve_v3,dace_vec_2_no_cpy,2666860.0,2,False
saturation_calculation_intrinsic_sve_v3,dace_vec_2_no_cpy,2649581.0,2,False
saturation_calculation_intrinsic_sve_v3,dace_vec_4_w_cpy,1964404.0,4,True
saturation_calculation_intrinsic_sve_v3,dace_vec_4_w_cpy,1962183.0,4,True
saturation_calculation_intrinsic_sve_v3,dace_vec_4_no_cpy,1832756.0,4,False
saturation_calculation_intrinsic_sve_v3,dace_vec_4_no_cpy,1831057.0,4,False
saturation_calculation_intrinsic_sve_v3,dace_vec_8_w_cpy,1797261.0,8,True
saturation_calculation_intrinsic_sve_v3,dace_vec_8_w_cpy,1721447.0,8,True
saturation_calculation_intrinsic_sve_v3,dace_vec_8_no_cpy,1473515.0,8,False
saturation_calculation_intrinsic_sve_v3,dace_vec_8_no_cpy,1554013.0,8,False
saturation_calculation_intrinsic_sve_v3,dace_vec_16_w_cpy,1211955.0,16,True
saturation_calculation_intrinsic_sve_v3,dace_vec_16_w_cpy,1206495.0,16,True
saturation_calculation_intrinsic_sve_v3,dace_vec_16_no_cpy,1263829.0,16,False
saturation_calculation_intrinsic_sve_v3,dace_vec_16_no_cpy,1258176.0,16,False
saturation_calculation_intrinsic_sve_v3,dace_vec_32_w_cpy,1135382.0,32,True
saturation_calculation_intrinsic_sve_v3,dace_vec_32_w_cpy,1122841.0,32,True
saturation_calculation_intrinsic_sve_v3,dace_vec_32_no_cpy,1361544.0,32,False
saturation_calculation_intrinsic_sve_v3,dace_vec_32_no_cpy,1110961.0,32,False
saturation_calculation_intrinsic_sve_v3,dace_vec_64_w_cpy,1245928.0,64,True
saturation_calculation_intrinsic_sve_v3,dace_vec_64_w_cpy,1514056.0,64,True
saturation_calculation_intrinsic_sve_v3,dace_vec_64_no_cpy,1083853.0,64,False
saturation_calculation_intrinsic_sve_v3,dace_vec_64_no_cpy,1080325.0,64,False
saturation_calculation_intrinsic_sve_v3,dace,478595.0,None,None
saturation_calculation_intrinsic_sve_v3,fortran,370439.224,None,None
saturation_calculation_intrinsic_sve_v3,dace,478412.0,None,None
saturation_calculation_intrinsic_sve_v3,fortran,370308.092,None,None
saturation_calculation_intrinsic_sve_v3,dace_vec_2_w_cpy,2734345.0,2,True
saturation_calculation_intrinsic_sve_v3,dace_vec_2_w_cpy,2627384.0,2,True
saturation_calculation_intrinsic_sve_v3,dace_vec_2_no_cpy,2680196.0,2,False
saturation_calculation_intrinsic_sve_v3,dace_vec_2_no_cpy,2650119.0,2,False
saturation_calculation_intrinsic_sve_v3,dace_vec_4_w_cpy,1928362.0,4,True
