sdfg_name,size,rep,time_seconds
log_implementations_std,4718592,0,89470
log_implementations_std,4718592,1,89607
log_implementations_std,4718592,2,89504
log_implementations_std,4718592,3,89631
log_implementations_std,4718592,4,89587
log_implementations_std,4718592,5,89669
log_implementations_std,4718592,6,89654
log_implementations_std,4718592,7,89552
log_implementations_std,4718592,8,89708
log_implementations_std,4718592,9,89729
log_implementations_std,4718592,10,89382
log_implementations_std,4718592,11,89386
log_implementations_std,4718592,12,89477
log_implementations_std,4718592,13,89630
log_implementations_std,4718592,14,89582
log_implementations_std,4718592,15,89588
log_implementations_std,4718592,16,89612
log_implementations_std,4718592,17,89655
log_implementations_std,4718592,18,89535
log_implementations_std,4718592,19,89462
log_implementations_std_g__veclen_8_no_cpy,4718592,0,11308
log_implementations_std_g__veclen_8_no_cpy,4718592,1,11294
log_implementations_std_g__veclen_8_no_cpy,4718592,2,11304
log_implementations_std_g__veclen_8_no_cpy,4718592,3,11295
log_implementations_std_g__veclen_8_no_cpy,4718592,4,11282
log_implementations_std_g__veclen_8_no_cpy,4718592,5,11260
log_implementations_std_g__veclen_8_no_cpy,4718592,6,11294
log_implementations_std_g__veclen_8_no_cpy,4718592,7,11270
log_implementations_std_g__veclen_8_no_cpy,4718592,8,11277
log_implementations_std_g__veclen_8_no_cpy,4718592,9,11324
log_implementations_std_g__veclen_8_no_cpy,4718592,10,11307
log_implementations_std_g__veclen_8_no_cpy,4718592,11,11306
log_implementations_std_g__veclen_8_no_cpy,4718592,12,11321
log_implementations_std_g__veclen_8_no_cpy,4718592,13,11306
log_implementations_std_g__veclen_8_no_cpy,4718592,14,11422
log_implementations_std_g__veclen_8_no_cpy,4718592,15,11455
log_implementations_std_g__veclen_8_no_cpy,4718592,16,11590
log_implementations_std_g__veclen_8_no_cpy,4718592,17,11567
log_implementations_std_g__veclen_8_no_cpy,4718592,18,11583
log_implementations_std_g__veclen_8_no_cpy,4718592,19,11555
log_implementations_std_g__veclen_8_cpy,4718592,0,11997
log_implementations_std_g__veclen_8_cpy,4718592,1,12015
log_implementations_std_g__veclen_8_cpy,4718592,2,12029
log_implementations_std_g__veclen_8_cpy,4718592,3,12045
log_implementations_std_g__veclen_8_cpy,4718592,4,11903
log_implementations_std_g__veclen_8_cpy,4718592,5,12024
log_implementations_std_g__veclen_8_cpy,4718592,6,12066
log_implementations_std_g__veclen_8_cpy,4718592,7,12086
log_implementations_std_g__veclen_8_cpy,4718592,8,12110
log_implementations_std_g__veclen_8_cpy,4718592,9,12130
log_implementations_std_g__veclen_8_cpy,4718592,10,12177
log_implementations_std_g__veclen_8_cpy,4718592,11,12183
log_implementations_std_g__veclen_8_cpy,4718592,12,12181
log_implementations_std_g__veclen_8_cpy,4718592,13,12174
log_implementations_std_g__veclen_8_cpy,4718592,14,12183
log_implementations_std_g__veclen_8_cpy,4718592,15,12175
log_implementations_std_g__veclen_8_cpy,4718592,16,12153
log_implementations_std_g__veclen_8_cpy,4718592,17,12184
log_implementations_std_g__veclen_8_cpy,4718592,18,12148
log_implementations_std_g__veclen_8_cpy,4718592,19,12182
log_implementations_std_g__veclen_16_no_cpy,4718592,0,11329
log_implementations_std_g__veclen_16_no_cpy,4718592,1,11384
log_implementations_std_g__veclen_16_no_cpy,4718592,2,11362
log_implementations_std_g__veclen_16_no_cpy,4718592,3,11423
log_implementations_std_g__veclen_16_no_cpy,4718592,4,11353
log_implementations_std_g__veclen_16_no_cpy,4718592,5,11194
log_implementations_std_g__veclen_16_no_cpy,4718592,6,11707
log_implementations_std_g__veclen_16_no_cpy,4718592,7,11002
log_implementations_std_g__veclen_16_no_cpy,4718592,8,10976
log_implementations_std_g__veclen_16_no_cpy,4718592,9,10970
log_implementations_std_g__veclen_16_no_cpy,4718592,10,10970
log_implementations_std_g__veclen_16_no_cpy,4718592,11,11077
log_implementations_std_g__veclen_16_no_cpy,4718592,12,11063
log_implementations_std_g__veclen_16_no_cpy,4718592,13,11113
log_implementations_std_g__veclen_16_no_cpy,4718592,14,11136
log_implementations_std_g__veclen_16_no_cpy,4718592,15,11149
log_implementations_std_g__veclen_16_no_cpy,4718592,16,11133
log_implementations_std_g__veclen_16_no_cpy,4718592,17,11230
log_implementations_std_g__veclen_16_no_cpy,4718592,18,11266
log_implementations_std_g__veclen_16_no_cpy,4718592,19,11271
log_implementations_std_g__veclen_16_cpy,4718592,0,12291
log_implementations_std_g__veclen_16_cpy,4718592,1,12260
log_implementations_std_g__veclen_16_cpy,4718592,2,12277
log_implementations_std_g__veclen_16_cpy,4718592,3,12258
log_implementations_std_g__veclen_16_cpy,4718592,4,12255
log_implementations_std_g__veclen_16_cpy,4718592,5,12302
log_implementations_std_g__veclen_16_cpy,4718592,6,12294
log_implementations_std_g__veclen_16_cpy,4718592,7,12279
log_implementations_std_g__veclen_16_cpy,4718592,8,12270
log_implementations_std_g__veclen_16_cpy,4718592,9,12279
log_implementations_std_g__veclen_16_cpy,4718592,10,12304
log_implementations_std_g__veclen_16_cpy,4718592,11,12270
log_implementations_std_g__veclen_16_cpy,4718592,12,12246
log_implementations_std_g__veclen_16_cpy,4718592,13,12273
log_implementations_std_g__veclen_16_cpy,4718592,14,12263
log_implementations_std_g__veclen_16_cpy,4718592,15,12250
log_implementations_std_g__veclen_16_cpy,4718592,16,12247
log_implementations_std_g__veclen_16_cpy,4718592,17,12265
log_implementations_std_g__veclen_16_cpy,4718592,18,12266
log_implementations_std_g__veclen_16_cpy,4718592,19,12260
log_implementations_std_g__veclen_32_no_cpy,4718592,0,11284
log_implementations_std_g__veclen_32_no_cpy,4718592,1,11345
log_implementations_std_g__veclen_32_no_cpy,4718592,2,11462
log_implementations_std_g__veclen_32_no_cpy,4718592,3,11511
log_implementations_std_g__veclen_32_no_cpy,4718592,4,11540
log_implementations_std_g__veclen_32_no_cpy,4718592,5,11599
log_implementations_std_g__veclen_32_no_cpy,4718592,6,11564
log_implementations_std_g__veclen_32_no_cpy,4718592,7,11565
log_implementations_std_g__veclen_32_no_cpy,4718592,8,11590
log_implementations_std_g__veclen_32_no_cpy,4718592,9,11596
log_implementations_std_g__veclen_32_no_cpy,4718592,10,11379
log_implementations_std_g__veclen_32_no_cpy,4718592,11,11197
log_implementations_std_g__veclen_32_no_cpy,4718592,12,11202
log_implementations_std_g__veclen_32_no_cpy,4718592,13,11211
log_implementations_std_g__veclen_32_no_cpy,4718592,14,11206
log_implementations_std_g__veclen_32_no_cpy,4718592,15,11224
log_implementations_std_g__veclen_32_no_cpy,4718592,16,11206
log_implementations_std_g__veclen_32_no_cpy,4718592,17,11233
log_implementations_std_g__veclen_32_no_cpy,4718592,18,11254
log_implementations_std_g__veclen_32_no_cpy,4718592,19,11251
log_implementations_std_g__veclen_32_cpy,4718592,0,12345
log_implementations_std_g__veclen_32_cpy,4718592,1,12358
log_implementations_std_g__veclen_32_cpy,4718592,2,12348
log_implementations_std_g__veclen_32_cpy,4718592,3,12364
log_implementations_std_g__veclen_32_cpy,4718592,4,12357
log_implementations_std_g__veclen_32_cpy,4718592,5,12367
log_implementations_std_g__veclen_32_cpy,4718592,6,11987
log_implementations_std_g__veclen_32_cpy,4718592,7,11968
log_implementations_std_g__veclen_32_cpy,4718592,8,11965
log_implementations_std_g__veclen_32_cpy,4718592,9,11955
log_implementations_std_g__veclen_32_cpy,4718592,10,11955
log_implementations_std_g__veclen_32_cpy,4718592,11,11962
log_implementations_std_g__veclen_32_cpy,4718592,12,11947
log_implementations_std_g__veclen_32_cpy,4718592,13,11950
log_implementations_std_g__veclen_32_cpy,4718592,14,11950
log_implementations_std_g__veclen_32_cpy,4718592,15,11966
log_implementations_std_g__veclen_32_cpy,4718592,16,11958
log_implementations_std_g__veclen_32_cpy,4718592,17,11951
log_implementations_std_g__veclen_32_cpy,4718592,18,11993
log_implementations_std_g__veclen_32_cpy,4718592,19,11993
log_implementations_std_g__veclen_64_no_cpy,4718592,0,11322
