name,time_ns
s000_run_timed,179686768
s000_run_timed,179884465
s000_run_timed,179470648
s000_run_timed,179725310
s000_run_timed,179307864
s000_run_timed,179175434
s000_run_timed,179113095
s000_run_timed,179046855
s000_run_timed,179048068
s000_run_timed,178937444
s000_run_timed,178540196
base_s000,180673000
base_s000,180649000
base_s000,180271000
base_s000,180181000
base_s000,179972000
base_s000,179920000
base_s000,180078000
base_s000,179834000
base_s000,179662000
base_s000,179631000
dace_s000_cpy,176733000
dace_s000_cpy,176739000
dace_s000_cpy,176642000
dace_s000_cpy,176691000
dace_s000_cpy,176490000
dace_s000_cpy,176507000
dace_s000_cpy,176517000
dace_s000_cpy,176380000
dace_s000_cpy,176347000
dace_s000_cpy,176233000
dace_s000_cpy,176058000
dace_s000,176110000
dace_s000,175992000
dace_s000,175775000
dace_s000,175674000
dace_s000,175709000
dace_s000,175914000
dace_s000,175420000
dace_s000,175334000
dace_s000,175244000
dace_s000,175274000
dace_s000,175167000
s111_run_timed,179831452
s111_run_timed,179858655
s111_run_timed,179831418
s111_run_timed,179873557
s111_run_timed,180101173
s111_run_timed,179943667
s111_run_timed,179926704
s111_run_timed,179815964
s111_run_timed,179862802
s111_run_timed,180066121
s111_run_timed,179845971
base_s111,180388000
base_s111,180272000
base_s111,180058000
base_s111,180064000
base_s111,180024000
base_s111,180148000
base_s111,180285000
base_s111,180071000
base_s111,179964000
base_s111,179962000
dace_s111_cpy,180110000
dace_s111_cpy,180113000
dace_s111_cpy,180067000
dace_s111_cpy,180240000
dace_s111_cpy,180186000
dace_s111_cpy,180135000
dace_s111_cpy,180085000
dace_s111_cpy,179915000
dace_s111_cpy,180225000
dace_s111_cpy,179993000
dace_s111_cpy,179910000
dace_s111,179890000
dace_s111,179872000
dace_s111,179881000
dace_s111,179854000
dace_s111,179743000
dace_s111,179758000
dace_s111,179780000
dace_s111,179789000
dace_s111,179723000
dace_s111,179708000
dace_s111,179664000
s1111_run_timed,219328008
s1111_run_timed,219364957
s1111_run_timed,219544533
s1111_run_timed,219274479
s1111_run_timed,219366552
s1111_run_timed,219266891
s1111_run_timed,219224910
s1111_run_timed,219395086
s1111_run_timed,219517175
s1111_run_timed,219301525
s1111_run_timed,219194269
base_s1111,219190000
base_s1111,219218000
base_s1111,219178000
base_s1111,219069000
base_s1111,219000000
base_s1111,219068000
base_s1111,219185000
base_s1111,219095000
base_s1111,219125000
base_s1111,219102000
dace_s1111_cpy,216368000
dace_s1111_cpy,216300000
dace_s1111_cpy,216390000
dace_s1111_cpy,216548000
dace_s1111_cpy,216402000
dace_s1111_cpy,216298000
dace_s1111_cpy,216292000
dace_s1111_cpy,216412000
dace_s1111_cpy,216355000
dace_s1111_cpy,216178000
dace_s1111_cpy,216210000
dace_s1111,216315000
dace_s1111,216336000
dace_s1111,216438000
dace_s1111,216336000
dace_s1111,216233000
dace_s1111,216258000
dace_s1111,216173000
dace_s1111,216228000
dace_s1111,216211000
dace_s1111,216127000
dace_s1111,216177000
s112_run_timed,263998595
s112_run_timed,264172504
s112_run_timed,263897245
s112_run_timed,263879793
s112_run_timed,263838254
s112_run_timed,264272256
s112_run_timed,263753961
s112_run_timed,263801054
s112_run_timed,263994653
s112_run_timed,263957152
s112_run_timed,263611279
base_s112,263162000
base_s112,262892000
base_s112,262918000
base_s112,263005000
base_s112,262813000
